country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,99000,191000,282000,389000,495000,649000,832000,1130000,1460000,1840000,2250000,2750000,3440000,4140000,4980000,5990000,7080000,8360000,9590000,10500000,12200000,14100000,15600000,17300000,19200000,21300000,23300000,25700000,27800000,30100000,31800000,33800000,35900000,38400000,41300000,44800000,47900000,51000000,53900000,56600000,59300000,61700000,63100000,64400000,65700000,66900000,68100000,69200000,70200000,71000000,71800000,72600000,73700000,74900000,75800000,77100000,78700000,81000000,85200000,92000000,100000000,113000000,123000000,132000000,141000000,150000000,159000000,168000000,177000000
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7330,14700,33000,161000,458000,807000,1240000,1930000,2560000,3300000,3770000,3920000,4040000,4530000,5450000,6160000,7170000,7470000,7870000,8250000,8660000,9160000,9830000,10700000,12200000,13400000,14800000,16800000,19100000,21600000,23700000,25700000,27900000,30400000,33100000,36200000,39400000,43200000,47500000,53200000,58400000,62800000,67400000,72300000,78100000,84600000,92100000,97300000,105000000,112000000,120000000,127000000,135000000,143000000,151000000,158000000,167000000,173000000,177000000,179000000,182000000,184000000,186000000,188000000,189000000,191000000,194000000,197000000,200000000,204000000,208000000,213000000,217000000,221000000,225000000,229000000,233000000,238000000,243000000,248000000,253000000,259000000,263000000,268000000,272000000,277000000
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,3670,11000,29300,47700,69700,95300,121000,136000,165000,198000,238000,297000,370000,451000,535000,634000,748000,869000,1010000,1140000,1190000,1260000,1290000,1460000,1690000,2010000,2500000,2970000,3470000,4090000,4850000,5600000,6400000,7310000,11100000,15200000,19100000,23100000,27300000,31900000,36900000,42400000,47700000,53300000,59500000,65500000,71200000,76600000,82300000,88900000,97300000,106000000,115000000,126000000,141000000,160000000,188000000,226000000,258000000,290000000,330000000,371000000,434000000,480000000,546000000,592000000,632000000,684000000,755000000,828000000,904000000,988000000,1070000000,1150000000,1230000000,1310000000,1390000000,1470000000,1560000000,1650000000,1750000000,1830000000,1940000000,2030000000,2120000000,2200000000,2290000000,2380000000,2470000000,2580000000,2680000000,2790000000,2900000000,3020000000,3140000000,3260000000,3380000000,3520000000,3660000000,3810000000,3960000000,4110000000,4260000000
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407000,814000,1220000,1630000,2040000,2460000,2920000,3380000,3880000,4390000,4910000,5440000,5970000,6510000,7070000,7640000,8190000,8730000,9270000,9780000,10300000,10800000,11300000,11800000,12200000,12700000,13200000,13600000,14100000
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187000,436000,748000,1020000,1370000,1790000,2290000,2910000,3500000,4120000,4670000,5120000,6300000,7460000,8680000,9870000,11400000,12400000,14100000,16900000,20400000,23900000,28400000,33200000,38100000,42500000,45800000,49300000,54700000,60200000,65600000,70800000,75500000,80600000,85600000,90300000,94900000,101000000,106000000,111000000,116000000,121000000,126000000,132000000,136000000,147000000,157000000,164000000,172000000,181000000,190000000,200000000,213000000,222000000,240000000,259000000,281000000,306000000,332000000,360000000,388000000,419000000,453000000,486000000,530000000,564000000,598000000,632000000,667000000
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,51300,80700,117000,165000,268000,352000,444000,594000,942000,1510000,2500000,3760000,4220000,4640000,5020000,5350000,5780000,6480000,6890000,7350000,7840000,8250000,8390000,8500000,8790000,8880000,9020000,9270000,9520000,9800000,10100000,10400000,10700000,10900000,11200000,11500000,11700000,12000000,12300000,12600000,12900000,13200000,13600000,13900000,14300000,14700000,15100000,15600000,16000000,16500000,17000000,17500000,18000000,18500000,19000000,19600000,20100000,20600000,21200000,21800000,22300000
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000,1980000,3730000,5100000,6040000,7430000,8980000,11000000,13200000,15600000,17600000,20000000,22900000,25000000,27500000,30300000,33200000,37000000,40900000,47200000,53500000,61100000,67000000,75900000,85900000,95400000,106000000,114000000,121000000,126000000,128000000,131000000,135000000,141000000,146000000,153000000,162000000,173000000,184000000,195000000,209000000,221000000,235000000,247000000,260000000,273000000,287000000,301000000,315000000,330000000,347000000,363000000,380000000,396000000,410000000,424000000,438000000,452000000,466000000,479000000,494000000,511000000,527000000,557000000,592000000,628000000,663000000,700000000,739000000,784000000,831000000,875000000,924000000,973000000,1020000000,1080000000,1130000000,1180000000,1240000000,1310000000,1370000000,1440000000,1520000000,1600000000,1690000000,1780000000,1870000000,1970000000,2060000000,2160000000,2260000000,2370000000,2480000000,2590000000,2690000000,2790000000,2900000000,3000000000,3100000000,3210000000,3320000000,3440000000,3560000000,3670000000,3790000000,3910000000,4030000000,4150000000,4280000000,4410000000,4550000000,4690000000,4840000000,4980000000,5110000000,5240000000,5370000000,5530000000,5690000000,5860000000,6040000000,6230000000,6410000000,6590000000,6780000000,6970000000,7170000000,7360000000,7560000000,7760000000,7960000000,8160000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,70.3,95.9,128,,,,,,,,,,,,,,,,,326,,,,,927,,,1770,2670,3850,5350,6700,8120,9720,11200,16000,21600,26100,32400,39100,48300,57600,66400,77100,89300,105000,120000,140000,161000,186000,212000,239000,270000,301000,335000,370000,407000,446000,488000,535000,587000,642000,707000,773000,849000,926000,1010000,1110000,1230000,1360000,1500000,1630000,1750000,1900000,2020000,2170000,2330000,2490000,2660000,2830000,3000000,3200000,3420000,3610000,3790000,3980000,4150000,4220000,4280000,4330000,4390000,4460000,4540000,4640000,4730000,4870000,5030000,5220000,5420000,5690000,6020000,6390000,6800000,7300000,7870000,8510000,9180000,9870000,10600000,11400000,12200000,12700000,13300000,14000000,14600000,15300000,16200000,17100000,18200000,19400000,20700000,22100000,23500000,25100000,26900000,28900000,31000000,33300000,40300000,47500000,54900000,62700000,71100000,80000000,89500000,99500000,110000000,121000000,132000000,144000000,156000000,169000000,183000000,197000000,212000000,228000000,244000000,261000000,278000000,295000000,312000000,330000000,348000000,366000000,385000000,404000000,424000000,443000000,463000000,481000000,500000000,506000000,508000000,511000000,514000000,517000000,520000000,524000000,527000000,530000000,534000000,537000000,540000000,544000000,548000000,553000000,558000000,563000000,568000000,572000000,577000000,583000000,588000000,594000000,599000000,604000000,609000000,614000000
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,279000,788000,1140000,1540000,1810000,2230000,2930000,3820000,4560000,5200000,5800000,6490000,7200000,8070000,8960000,9790000,10700000,11800000,12800000,14200000,16400000,18200000,20200000,22600000,25200000,28100000,31000000,34000000,37600000,41000000,44500000,48600000,52700000,56700000,61000000,65600000,70100000,75100000,80700000,86500000,96700000,108000000,120000000,131000000,142000000,154000000,169000000,184000000,201000000,216000000,233000000,252000000,273000000,296000000,320000000,342000000,361000000,382000000,405000000,427000000,452000000,476000000,500000000,525000000,552000000,580000000,608000000,637000000,663000000,687000000,709000000,729000000,749000000,770000000,793000000,818000000,846000000,874000000,902000000,935000000,964000000,998000000,1030000000,1070000000,1100000000,1140000000,1170000000,1210000000,1250000000,1290000000,1340000000,1400000000,1460000000,1520000000,1590000000,1660000000,1730000000,1810000000,1880000000,1970000000,2060000000,2150000000,2240000000,2340000000,2450000000,2570000000,2690000000,2820000000,2960000000,3100000000,3250000000,3400000000,3560000000,3730000000,3900000000,4080000000,4250000000,4440000000,4640000000,4840000000,5070000000,5300000000,5530000000,5750000000,5990000000,6230000000,6470000000,6730000000,6990000000,7270000000,7550000000,7830000000,8110000000,8400000000,8700000000,9000000000,9310000000,9630000000,9970000000,10300000000,10700000000,11000000000,11400000000,11800000000,12100000000,12500000000,12900000000,13300000000,13700000000,14100000000,14500000000,14900000000,15400000000,15700000000,16100000000,16500000000,17000000000,17400000000,17800000000
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,,,,,,,,,,,,422000,755000,1110000,1480000,1830000,2230000,2630000,3090000,3570000,4030000,4500000,5000000,5480000,5990000,6420000,7010000,7640000,8320000,9020000,9880000,10900000,12100000,13400000,14900000,16200000,17700000,19500000,21700000,23700000,26100000,28300000,30700000,33000000,35800000,39000000,42200000,45900000,50200000,55000000,62300000,68200000,74300000,80700000,87100000,92900000,98000000,103000000,107000000,112000000,118000000,124000000,132000000,142000000,152000000,163000000,172000000,180000000,188000000,195000000,202000000,211000000,235000000,245000000,256000000,268000000,279000000,291000000,303000000,315000000,327000000,340000000,353000000,368000000,382000000,400000000,418000000,438000000,460000000,483000000,507000000,532000000,560000000,588000000,614000000,639000000,666000000,694000000,728000000,770000000,829000000,871000000,929000000,977000000,1030000000,1090000000,1140000000,1170000000,1180000000,1180000000,1190000000,1190000000,1200000000,1220000000,1240000000,1260000000,1280000000,1300000000,1320000000,1340000000,1360000000,1380000000,1400000000,1420000000,1430000000,1450000000,1460000000,1480000000,1490000000,1500000000,1510000000,1520000000,1520000000,1530000000,1540000000,1550000000,1560000000,1560000000,1580000000,1590000000,1620000000,1650000000,1670000000,1690000000,1710000000,1730000000,1760000000,1790000000,1820000000,1850000000,1870000000,1900000000,1930000000,1960000000,2000000000,2030000000,2070000000,2110000000,2150000000,2190000000,2230000000,2280000000,2330000000,2380000000,2440000000,2500000000,2550000000,2610000000,2670000000,2720000000,2780000000,2840000000,2890000000,2950000000,3000000000,3050000000,3110000000,3160000000,3220000000,3270000000,3330000000,3380000000,3440000000,3510000000,3570000000,3630000000,3690000000,3760000000,3820000000,3890000000,3960000000,4020000000,4090000000,4160000000,4230000000,4310000000,4390000000,4470000000,4550000000,4620000000,4690000000,4760000000,4830000000,4900000000,4970000000,5040000000,5110000000,5170000000,5240000000,5310000000,5380000000
